,Date/Time,Lat,Lon,Base,Time,Label,Date,Timestamp
89,7/4/2014 8:54:00,40.7561,-73.9718,B02512,8,Fourth of July,7/4/2014,8:54:00
90,7/4/2014 8:54:00,40.7511,-73.9847,B02512,8,Fourth of July,7/4/2014,8:54:00
91,7/4/2014 8:54:00,40.7511,-73.9847,B02512,8,Fourth of July,7/4/2014,8:54:00
92,7/4/2014 8:57:00,40.7371,-74.0075,B02512,8,Fourth of July,7/4/2014,8:57:00
93,7/4/2014 9:04:00,40.7742,-73.872,B02512,9,Fourth of July,7/4/2014,9:04:00
94,7/4/2014 9:09:00,40.7616,-73.9799,B02512,9,Fourth of July,7/4/2014,9:09:00
95,7/4/2014 9:11:00,40.7859,-73.9727,B02512,9,Fourth of July,7/4/2014,9:11:00
96,7/4/2014 9:13:00,40.7328,-74.0039,B02512,9,Fourth of July,7/4/2014,9:13:00
97,7/4/2014 9:13:00,40.7328,-74.0039,B02512,9,Fourth of July,7/4/2014,9:13:00
98,7/4/2014 9:13:00,40.7906,-73.9755,B02512,9,Fourth of July,7/4/2014,9:13:00
99,7/4/2014 9:23:00,40.577,-73.9818,B02512,9,Fourth of July,7/4/2014,9:23:00
100,7/4/2014 9:23:00,40.7748,-73.991,B02512,9,Fourth of July,7/4/2014,9:23:00
101,7/4/2014 9:23:00,40.7748,-73.991,B02512,9,Fourth of July,7/4/2014,9:23:00
102,7/4/2014 9:24:00,40.7732,-73.8856,B02512,9,Fourth of July,7/4/2014,9:24:00
103,7/4/2014 9:24:00,40.7645,-73.9785,B02512,9,Fourth of July,7/4/2014,9:24:00
104,7/4/2014 9:27:00,40.7657,-73.9661,B02512,9,Fourth of July,7/4/2014,9:27:00
105,7/4/2014 9:32:00,40.7678,-73.9617,B02512,9,Fourth of July,7/4/2014,9:32:00
106,7/4/2014 9:33:00,40.7754,-73.9503,B02512,9,Fourth of July,7/4/2014,9:33:00
107,7/4/2014 9:34:00,40.7436,-73.9728,B02512,9,Fourth of July,7/4/2014,9:34:00
108,7/4/2014 9:34:00,40.7436,-73.9728,B02512,9,Fourth of July,7/4/2014,9:34:00
109,7/4/2014 9:38:00,40.7568,-73.9833,B02512,9,Fourth of July,7/4/2014,9:38:00
110,7/4/2014 9:50:00,40.6952,-74.1783,B02512,9,Fourth of July,7/4/2014,9:50:00
111,7/4/2014 9:55:00,40.7861,-74.023,B02512,9,Fourth of July,7/4/2014,9:55:00
112,7/4/2014 10:01:00,40.7732,-73.8857,B02512,10,Fourth of July,7/4/2014,10:01:00
113,7/4/2014 10:02:00,40.7486,-73.9928,B02512,10,Fourth of July,7/4/2014,10:02:00
114,7/4/2014 10:03:00,40.7637,-73.9811,B02512,10,Fourth of July,7/4/2014,10:03:00
115,7/4/2014 10:03:00,40.7637,-73.9811,B02512,10,Fourth of July,7/4/2014,10:03:00
116,7/4/2014 10:04:00,40.7112,-74.0054,B02512,10,Fourth of July,7/4/2014,10:04:00
117,7/4/2014 10:05:00,40.7753,-73.9824,B02512,10,Fourth of July,7/4/2014,10:05:00
118,7/4/2014 10:06:00,40.7371,-73.9885,B02512,10,Fourth of July,7/4/2014,10:06:00
119,7/4/2014 10:08:00,40.7632,-73.9948,B02512,10,Fourth of July,7/4/2014,10:08:00
120,7/4/2014 10:12:00,40.7402,-74.0059,B02512,10,Fourth of July,7/4/2014,10:12:00
121,7/4/2014 10:13:00,40.7264,-73.9916,B02512,10,Fourth of July,7/4/2014,10:13:00
122,7/4/2014 10:13:00,40.7572,-73.9743,B02512,10,Fourth of July,7/4/2014,10:13:00
123,7/4/2014 10:17:00,40.7683,-73.9685,B02512,10,Fourth of July,7/4/2014,10:17:00
124,7/4/2014 10:18:00,40.7615,-73.9745,B02512,10,Fourth of July,7/4/2014,10:18:00
125,7/4/2014 10:23:00,40.7251,-74.0355,B02512,10,Fourth of July,7/4/2014,10:23:00
126,7/4/2014 10:23:00,40.7251,-74.0355,B02512,10,Fourth of July,7/4/2014,10:23:00
127,7/4/2014 10:27:00,40.7231,-73.9912,B02512,10,Fourth of July,7/4/2014,10:27:00
128,7/4/2014 10:27:00,40.7231,-73.9912,B02512,10,Fourth of July,7/4/2014,10:27:00
129,7/4/2014 10:32:00,40.7721,-73.9619,B02512,10,Fourth of July,7/4/2014,10:32:00
130,7/4/2014 10:32:00,40.7643,-73.9751,B02512,10,Fourth of July,7/4/2014,10:32:00
131,7/4/2014 10:37:00,40.7376,-73.9931,B02512,10,Fourth of July,7/4/2014,10:37:00
132,7/4/2014 10:37:00,40.8446,-74.0663,B02512,10,Fourth of July,7/4/2014,10:37:00
133,7/4/2014 10:42:00,40.7219,-74.0041,B02512,10,Fourth of July,7/4/2014,10:42:00
134,7/4/2014 10:42:00,40.7219,-74.0041,B02512,10,Fourth of July,7/4/2014,10:42:00
135,7/4/2014 10:42:00,40.7858,-73.9691,B02512,10,Fourth of July,7/4/2014,10:42:00
136,7/4/2014 10:44:00,40.7667,-73.9882,B02512,10,Fourth of July,7/4/2014,10:44:00
137,7/4/2014 10:48:00,40.7605,-74.0026,B02512,10,Fourth of July,7/4/2014,10:48:00
138,7/4/2014 10:53:00,40.6879,-74.1816,B02512,10,Fourth of July,7/4/2014,10:53:00
